compound,AreaShape_Area,AreaShape_Perimeter,AreaShape_Eccentricity,AreaShape_Solidity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxis,AreaShape_MinorAxis,AreaShape_AspectRatio,Intensity_Nuc_Mean_DNA,Intensity_Nuc_Std_DNA,Intensity_Nuc_P95_DNA,Intensity_Cyto_Mean_DNA,Intensity_Cyto_Std_DNA,Intensity_NucCytoRatio_DNA,Intensity_IntegratedNuc_DNA,Texture_LapRMS_Nuc_DNA,Texture_LapRMS_Cyto_DNA,Texture_CV_Cyto_DNA,Intensity_Nuc_Mean_RNA,Intensity_Nuc_Std_RNA,Intensity_Nuc_P95_RNA,Intensity_Cyto_Mean_RNA,Intensity_Cyto_Std_RNA,Intensity_NucCytoRatio_RNA,Intensity_IntegratedNuc_RNA,Texture_LapRMS_Nuc_RNA,Texture_LapRMS_Cyto_RNA,Texture_CV_Cyto_RNA,Intensity_Nuc_Mean_ER,Intensity_Nuc_Std_ER,Intensity_Nuc_P95_ER,Intensity_Cyto_Mean_ER,Intensity_Cyto_Std_ER,Intensity_NucCytoRatio_ER,Intensity_IntegratedNuc_ER,Texture_LapRMS_Nuc_ER,Texture_LapRMS_Cyto_ER,Texture_CV_Cyto_ER,Intensity_Nuc_Mean_AGP,Intensity_Nuc_Std_AGP,Intensity_Nuc_P95_AGP,Intensity_Cyto_Mean_AGP,Intensity_Cyto_Std_AGP,Intensity_NucCytoRatio_AGP,Intensity_IntegratedNuc_AGP,Texture_LapRMS_Nuc_AGP,Texture_LapRMS_Cyto_AGP,Texture_CV_Cyto_AGP,Intensity_Nuc_Mean_Mito,Intensity_Nuc_Std_Mito,Intensity_Nuc_P95_Mito,Intensity_Cyto_Mean_Mito,Intensity_Cyto_Std_Mito,Intensity_NucCytoRatio_Mito,Intensity_IntegratedNuc_Mito,Texture_LapRMS_Nuc_Mito,Texture_LapRMS_Cyto_Mito,Texture_CV_Cyto_Mito
AMG900,267.0,62.97056274847714,0.7977770880655373,0.9709090909090909,0.8291925465838509,0.8461473067375329,24.074527700700795,14.515796673467117,1.658505436680973,8294.292,519.6453,9202.1,1323.2268,1349.3602,6.2682314,2214576.0,0.022053955122828484,0.011418445967137814,1.0197498,11485.176,1920.6873,15297.9,9317.307,6900.6587,1.2326713,3066542.0,0.013436597771942616,0.011885743588209152,0.74062806,6622.8276,1484.886,8815.3,5510.678,4382.2007,1.2018172,1768295.0,0.01812491938471794,0.01722245290875435,0.79521984,5845.6777,986.4351,7842.399999999996,3362.1064,2532.38,1.738695,1560796.0,0.020485011860728264,0.022922709584236145,0.7532123,1425.0449,289.41922,2038.3999999999999,1618.9039,1783.954,0.8802529,380487.0,0.03673136234283447,0.038813311606645584,1.1019517
AMG900,758.0,111.9827560572969,0.801251096171052,0.9486858573216521,0.6579861111111112,0.7595856750825265,40.40558344649974,24.175801565670785,1.671323423827029,7716.1094,855.1282,9212.05,1328.9497,1611.6116,5.806171,5848811.0,0.010764054022729397,0.008922909386456013,1.2126957,6010.3154,1291.8843,8508.5,6768.847,6536.9966,0.88793784,4555819.0,0.007023673038929701,0.007985773496329784,0.9657474,2778.7202,556.12146,3699.8999999999996,3671.6758,4665.107,0.7567989,2106270.0,0.004919758532196283,0.00924421101808548,1.2705661,3153.698,631.2438,4378.05,3165.778,2487.8933,0.9961842,2390503.0,0.008495338261127472,0.012041502632200718,0.785871,713.7322,100.63627,897.5999999999999,813.5814,684.0166,0.87727195,541009.0,0.006120847538113594,0.010442681610584259,0.8407476
AMG900,2185.0,188.99494936611666,0.7944564191373694,0.9434369602763385,0.6526284348864994,0.7687071286355944,68.41375204659482,41.54911963069518,1.646575250081903,12420.68,3147.1125,18103.399999999998,1199.4106,1088.2874,10.355653,27139186.0,0.03012033924460411,0.011913929134607315,0.90735173,13798.719,3300.7625,19618.199999999997,9644.61,6192.3076,1.4307181,30150200.0,0.014515426941215992,0.009796361438930035,0.6420485,6907.8213,2111.4666,10655.599999999999,5109.88,3758.5015,1.3518559,15093589.0,0.013803493231534958,0.0149622093886137,0.73553616,8131.6265,2625.2332,13023.599999999988,3483.615,1813.2745,2.3342495,17767604.0,0.01920568011701107,0.01387097779661417,0.5205152,1226.5712,243.4929,1646.199999999999,925.54193,429.24445,1.3252465,2680058.0,0.012917134910821915,0.012736826203763485,0.46377635
AMG900,1512.0,152.46803743153544,0.8012535532887023,0.968609865470852,0.7578947368421053,0.817342411805954,56.9897105829865,34.09836561838709,1.6713326151988808,14101.05,4105.1484,20321.9,1386.6251,1449.042,10.169331,21320788.0,0.02646738290786743,0.01165802963078022,1.0450135,18152.527,5067.5347,27485.45,12460.514,10066.909,1.456804,27446622.0,0.011955327354371548,0.009801055304706097,0.80790484,9714.17,3745.6125,17088.800000000003,7168.2373,7245.194,1.3551686,14687825.0,0.013955174945294857,0.01250378042459488,1.0107358,8973.875,2966.4414,16207.2,4434.7065,3484.749,2.0235555,13568499.0,0.018314793705940247,0.010186363942921162,0.7857902,1728.2434,532.99896,2553.8,1253.2552,1128.5428,1.3790035,2613104.0,0.012712893076241016,0.012671216391026974,0.9004892
AMG900,723.0,122.90559159102156,0.9170981983785612,0.8948019801980198,0.6227390180878553,0.6014574077671643,50.02139457355104,19.941598104097263,2.5083944783378964,9828.413,1979.8367,13535.6,1312.6858,1484.2052,7.487255,7105943.0,0.01817372441291809,0.01092470157891512,1.1306629,12463.452,2884.0083,17588.6,6553.438,5471.9355,1.9018189,9011076.0,0.016899041831493378,0.010613610967993736,0.8349717,6169.2974,1509.1752,8931.699999999997,4018.154,3711.945,1.5353562,4460402.0,0.01247545424848795,0.01623670384287834,0.9237936,6213.163,1558.3976,8830.3,2757.6077,2485.5317,2.253099,4492117.0,0.024373965337872505,0.023765316233038902,0.90133625,1280.8326,451.46948,1994.9,1206.9585,1519.0214,1.0612068,926042.0,0.03652246668934822,0.0381186418235302,1.2585531
AMG900,1901.0,172.99494936611666,0.8414858339196806,0.9738729508196722,0.6465986394557823,0.79822464601318,67.01051960911019,36.204388521972525,1.8508949424305663,11387.817,2607.9722,15884.0,1228.8004,1361.8271,9.2674265,21648240.0,0.016473844647407532,0.0061311847530305386,1.1082574,7840.0854,1808.6577,11419.0,6196.462,4379.376,1.265252,14904002.0,0.0069631244987249374,0.005846956744790077,0.70675427,3215.5671,624.0981,4341.0,3667.5562,3299.026,0.8767602,6112793.0,0.006379298400133848,0.012570236809551716,0.8995161,3974.7544,660.6192,5247.0,3111.0415,2892.817,1.2776282,7556008.0,0.010744878090918064,0.01934072934091091,0.9298548,856.7286,119.08967,1056.0,796.6028,631.46875,1.0754777,1628641.0,0.005923273507505655,0.016102319583296776,0.79270214
AMG900,1050.0,127.88225099390856,0.8313002895549672,0.967741935483871,0.6628787878787878,0.8068236477878362,49.210038960807424,27.352098986925185,1.7991320879736046,27578.273,17709.525,58265.799999999996,1135.8945,1149.5378,24.278904,28957188.0,0.05243885517120361,0.011342495679855347,1.012011,33694.316,9318.82,50282.15,8604.524,11919.333,3.9158835,35379030.0,0.021782156080007553,0.017615612596273422,1.3852402,16177.326,5616.8257,26670.199999999997,4306.0127,6240.7207,3.7569156,16986192.0,0.026646114885807037,0.01802639290690422,1.4493039,15742.859,4729.921,23126.3,3949.3289,4214.289,3.9862113,16530002.0,0.02721409872174263,0.018377482891082764,1.0670899,2725.758,697.0855,3942.3999999999996,976.8843,871.4084,2.790257,2862046.0,0.02061954140663147,0.014614037238061428,0.8920283
AMG900,467.0,84.76955262170047,0.757151695981359,0.9530612244897959,0.6918518518518518,0.8166706770374086,30.51391210658888,19.932880190126458,1.5308330665481862,9796.264,1770.7615,12437.4,1260.1241,1379.7875,7.7740464,4574855.0,0.021723316982388496,0.009728902019560337,1.0949615,10962.732,2709.2283,16399.4,6233.91,4752.884,1.7585644,5119596.0,0.014076048508286476,0.009406881406903267,0.7624242,5420.7793,1340.0901,8125.099999999999,3583.1235,3140.5479,1.5128642,2531504.0,0.014553302899003029,0.015156433917582035,0.87648326,5499.634,1213.4639,7772.7,2348.5234,1765.8964,2.341741,2568329.0,0.0190941970795393,0.01736677996814251,0.7519177,1276.6381,713.92786,1998.4999999999998,1335.6796,1820.7445,0.95579666,596190.0,0.040787190198898315,0.04636160656809807,1.3631597
AMG900,1494.0,165.3380951166243,0.7213252976685068,0.9143206854345165,0.5905138339920949,0.6867751967479536,53.831024064372066,37.2831750939082,1.4438422674244733,8201.041,1188.749,10052.8,2461.7412,2017.519,3.3313985,12252355.0,0.007130718324333429,0.007254176773130894,0.8195496,6603.397,1248.1329,9102.55,6822.648,3430.1965,0.9678642,9865475.0,0.004994696006178856,0.005959845148026943,0.5027662,3195.882,827.3319,4833.7,3916.0742,2782.2903,0.8160933,4774648.0,0.00853942520916462,0.012078550644218922,0.71047944,3453.2463,483.91522,4492.0,3255.7764,1845.8401,1.0606521,5159150.0,0.005617495160549879,0.01692706160247326,0.56694317,486.74966,64.0057,601.0,554.4096,349.24722,0.8779604,727204.0,0.004526496399194002,0.0147068090736866,0.6299444
AMG900,1380.0,150.84671708797583,0.7191708078519615,0.9280430396772025,0.7340425531914894,0.7621092353436646,50.86355438101533,35.34169259734855,1.4391940691836385,10632.833,1809.996,13401.949999999999,1312.8856,1258.0629,8.098826,14673310.0,0.02360965684056282,0.010593011043965816,0.95824254,13833.586,2994.9702,20140.6,10979.016,5204.1167,1.2600024,19090348.0,0.018274741247296333,0.010216932743787766,0.47400576,6660.147,1559.4187,9709.1,6570.6904,3349.7898,1.0136145,9191003.0,0.015454749576747417,0.016423195600509644,0.5098079,8189.6514,1088.3135,10059.1,3828.868,2083.6553,2.1389225,11301719.0,0.018016960471868515,0.02077208086848259,0.5441962,1190.1971,172.99149,1525.2499999999998,924.1685,344.5158,1.2878573,1642472.0,0.011236860416829586,0.015555059537291527,0.3727846
AMG900,711.0,101.9827560572969,0.6275471074747745,0.9582210242587601,0.6970588235294117,0.8590649018854692,34.38936431679812,26.774822937430322,1.284391848161316,8360.204,1058.4371,9990.0,2650.5027,1997.9927,3.1541958,5944105.0,0.009034468792378902,0.007740357890725136,0.7538165,6864.3726,1574.9407,9603.5,6935.273,2943.4058,0.98977685,4880569.0,0.005238709039986134,0.006178284529596567,0.42441094,3424.8481,1096.317,5526.0,3881.9836,2535.3582,0.8822418,2435067.0,0.010677346028387547,0.01225050538778305,0.6531089,3394.114,337.50977,3954.5,3177.4578,1835.214,1.0681854,2413215.0,0.005878187716007233,0.01743389666080475,0.57757306,475.07315,100.87792,659.0,502.74753,185.1836,0.94495374,337777.0,0.005198709201067686,0.006682112347334623,0.3683431
AMG900,1516.0,146.22539674441617,0.6070365643159427,0.969309462915601,0.7834625322997416,0.8909707538860002,49.47858297521524,39.31933856919336,1.2583778053169397,8950.54,1972.3142,12945.0,1479.2908,1596.7051,6.050562,13569019.0,0.02199305221438408,0.008859136141836643,1.079372,13613.95,4171.092,22398.75,10303.538,5604.1626,1.3212888,20638748.0,0.019886253401637077,0.010920953936874866,0.5439066,6695.0044,1924.9965,10617.5,6510.972,4135.6904,1.0282649,10149627.0,0.014415762387216091,0.017070192843675613,0.63518786,6258.1226,1543.8939,9258.5,4123.6885,2665.1853,1.5176032,9487314.0,0.01745694689452648,0.02334841713309288,0.64631104,1138.7612,155.96806,1444.25,911.6904,358.19153,1.2490656,1726362.0,0.00855607446283102,0.009422467090189457,0.39288723
AMG900,507.0,113.49747468305833,0.9137276327891575,0.8022151898734177,0.5487012987012987,0.4945901081406495,43.97051744157577,17.866418296046017,2.461070636150213,7719.41,1059.0764,9800.699999999999,1546.7145,1789.2058,4.990844,3913741.0,0.01652423106133938,0.006091446150094271,1.1567783,6452.288,1583.2627,9360.6,4257.112,2932.989,1.5156492,3271310.0,0.0060849119909107685,0.006184869445860386,0.68896216,3419.3608,990.6156,5645.5,2335.3142,1891.8867,1.4641973,1733616.0,0.007083042990416288,0.009940426796674728,0.8101208,2764.6113,348.10712,3427.2999999999997,1876.7992,1054.6216,1.4730458,1401658.0,0.004665992688387632,0.007156858220696449,0.56192565,719.16174,109.01136,927.4,579.2008,311.84128,1.241645,364615.0,0.007694532163441181,0.01241347473114729,0.5383992
AMG900,904.0,131.25483399593904,0.9020837476975241,0.9416666666666667,0.7558528428093646,0.6593980832776297,52.187908116167996,22.522266746817127,2.317169435156577,7622.8374,1018.8417,9659.199999999999,1586.171,1866.0985,4.8058105,6891045.0,0.015516640618443489,0.007119689602404833,1.17648,7011.636,1697.3472,10427.849999999999,4519.808,3298.896,1.5513128,6338519.0,0.009747780859470367,0.0064904699102044106,0.7298752,3482.5508,684.538,4730.85,2666.992,2282.0098,1.3057972,3148226.0,0.007199220824986696,0.010796811431646347,0.8556493,2863.1306,396.39706,3651.2499999999995,2458.782,1997.9114,1.1644508,2588270.0,0.005889786873012781,0.018141092732548714,0.8125614,742.67255,122.069786,972.6999999999998,596.72363,305.18454,1.2445837,671376.0,0.006758482661098242,0.011575874872505665,0.51143366
